Smiles,ID
C1COCC(=O)N1c1ccc(cc1)N1C[C@@H](OC1=O)CNC(=O)c1ccc(s1)Cl,1
C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CO)C,2
C[C@@H]1CCC23[C@H]1CC[C@]2([C@H]1C[C@]2(CC[C@H]([C@@H]2CC1=C3C(=O)O)C(C)C)C)C,3
CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,4
O=C(OCC1=CC=CC=C1)C=P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,5
BrC(C(OCC1=CC=CC=C1)=O)/C(C(OC)OC)=C/C(OCC2=CC=CC=C2)=O,6
O[C@H]([C@H](C(OCC1=CC=CC=C1)=O)/C(C(OC)OC)=C/C(OCC2=CC=CC=C2)=O)/C=C(C(C)(C)C)\Br,7
O[C@H]1C=C(C(C)(C)C)[C@](CC(OCC2=CC=CC=C2)=O)(C(OC)OC)[C@H]1C(OCC3=CC=CC=C3)=O,8
O[C@H]1C[C@@](O)(C(C)(C)C)[C@](CC(OCC2=CC=CC=C2)=O)(C(OC)OC)[C@H]1C(OCC3=CC=CC=C3)=O,9
O[C@H]1C[C@@](O[C@@H]2OC)(C(C)(C)C)[C@@]2(CC(OCC3=CC=CC=C3)=O)[C@H]1C(OCC4=CC=CC=C4)=O,10
O=C1C[C@@](O[C@@H]2OC)(C(C)(C)C)[C@@]2(CC(OCC3=CC=CC=C3)=O)[C@H]1C(OCC4=CC=CC=C4)=O,11
O=C1C[C@@](O[C@@H]2OC)(C(C)(C)C)[C@@]2(CC(OCC3=CC=CC=C3)=O)[C@]1(C#C)C(OCC4=CC=CC=C4)=O,12
O[C@H]1C[C@@](O[C@@H]2OC)(C(C)(C)C)[C@@]2(CC(OCC3=CC=CC=C3)=O)[C@]1(C#C)C(OCC4=CC=CC=C4)=O,13
O=C1C[C@]2(C(OCC3=CC=CC=C3)=O)[C@]4(CC(OCC5=CC=CC=C5)=O)[C@](O[C@@H]4OC)(C(C)(C)C)C[C@]2([H])O1,14
O=C1C[C@]23C([C@]4([H])OC3=O)(CC(O4)=O)[C@](O)(C(C)(C)C)C[C@]2([H])O1,15
O=C1C[C@]23C([C@]4([H])OC3=O)([C@](O)([H])C(O4)=O)[C@](O)(C(C)(C)C)C[C@]2([H])O1,16
