Smiles,ID,nSPS
C1COCC(=O)N1c1ccc(cc1)N1C[C@@H](OC1=O)CNC(=O)c1ccc(s1)Cl,1,19.413793103448278
C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CO)C,2,49.7037037037037
C[C@@H]1CCC23[C@H]1CC[C@]2([C@H]1C[C@]2(CC[C@H]([C@@H]2CC1=C3C(=O)O)C(C)C)C)C,3,53.48148148148148
CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,4,46.535714285714285
O=C(OCC1=CC=CC=C1)C=P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,5,10.933333333333334
BrC(C(OCC1=CC=CC=C1)=O)/C(C(OC)OC)=C/C(OCC2=CC=CC=C2)=O,6,12.482758620689655
O[C@H]([C@H](C(OCC1=CC=CC=C1)=O)/C(C(OC)OC)=C/C(OCC2=CC=CC=C2)=O)/C=C(C(C)(C)C)\Br,7,14.27027027027027
O[C@H]1C=C(C(C)(C)C)[C@](CC(OCC2=CC=CC=C2)=O)(C(OC)OC)[C@H]1C(OCC3=CC=CC=C3)=O,8,21.805555555555557
O[C@H]1C[C@@](O)(C(C)(C)C)[C@](CC(OCC2=CC=CC=C2)=O)(C(OC)OC)[C@H]1C(OCC3=CC=CC=C3)=O,9,25.72972972972973
O[C@H]1C[C@@](O[C@@H]2OC)(C(C)(C)C)[C@@]2(CC(OCC3=CC=CC=C3)=O)[C@H]1C(OCC4=CC=CC=C4)=O,10,29.685714285714287
O=C1C[C@@](O[C@@H]2OC)(C(C)(C)C)[C@@]2(CC(OCC3=CC=CC=C3)=O)[C@H]1C(OCC4=CC=CC=C4)=O,11,27.6
O=C1C[C@@](O[C@@H]2OC)(C(C)(C)C)[C@@]2(CC(OCC3=CC=CC=C3)=O)[C@]1(C#C)C(OCC4=CC=CC=C4)=O,12,28.513513513513512
O[C@H]1C[C@@](O[C@@H]2OC)(C(C)(C)C)[C@@]2(CC(OCC3=CC=CC=C3)=O)[C@]1(C#C)C(OCC4=CC=CC=C4)=O,13,30.486486486486488
O=C1C[C@]2(C(OCC3=CC=CC=C3)=O)[C@]4(CC(OCC5=CC=CC=C5)=O)[C@](O[C@@H]4OC)(C(C)(C)C)C[C@]2([H])O1,14,31.526315789473685
O=C1C[C@]23C([C@]4([H])OC3=O)(CC(O4)=O)[C@](O)(C(C)(C)C)C[C@]2([H])O1,15,49.36363636363637
O=C1C[C@]23C([C@]4([H])OC3=O)([C@](O)([H])C(O4)=O)[C@](O)(C(C)(C)C)C[C@]2([H])O1,16,51.0
